id,name,address,city,state,zip,lat,lon,phone,revenue,utilization,_ingested_at,_source_system,_row_hash
74ab949d-17ac-3309-83a0-13b4405c66aa,Fitchburg Outpatient Clinic,881 Main Street,Fitchburg,MA,01420,42.586487,-71.80521,978-342-9781 Or 978-342-9781,0.0,188,2026-05-09 23:29:49.413347,synthea,3570de69bd7339175b8eb285fb8811cb
e09d4c49-c2ef-3b0f-9a46-3719d9219306,UMASS MEMORIAL HEALTHALLIANCE CLINTON HOSPITAL INC,60 HOSPITAL RD,LEOMINSTER,MA,014533290,42.54031915,-71.76312990486304,9784662000,0.0,325,2026-05-09 23:29:49.413347,synthea,498535dcbf5976ecc7c331bc24c2c512
c241b977-4131-32e4-9957-e0a00b2a1e5f,DUFFY HEALTH CENTER,94 MAIN STREET,HYANNIS,MA,026013146,41.6562802,-70.27448000204822,5087719599,0.0,21,2026-05-09 23:29:49.413347,synthea,ac5fe9f7052a0c4efc00ac6312b136b6
d2284f74-b6da-3a15-9791-84cdf2db18fb,EAST FALMOUTH FAMILY PRACTICE PC,331 E FALMOUTH HWY,E FALMOUTH,MA,025366039,41.57853245,-70.5617374807812,5084950704,0.0,26,2026-05-09 23:29:49.413347,synthea,f2522c2f680b918f8c25292137d3950f
ab701a70-a658-340e-8f69-ee196a7d40c6,CAREWELL URGENT CARE CENTERS OF MA  PC,484 RTE 134,WORCESTER,MA,016071728,42.2625621,-71.8018877,5086947901,0.0,39,2026-05-09 23:29:49.413347,synthea,f9a7402b0ad258c03dbb6ac6e4c4ded2
11ba6a26-59b4-3728-a268-6dc9929962b4,COURTYARD NURSING CARE CENTER,200 GOVERNORS AVENUE,MEDFORD,MA,021551644,42.42711615,-71.1121606632448,7813915400,0.0,1,2026-05-09 23:29:49.413347,synthea,f23677f3ccd0ad38bdac77da5cf2b796
dcbd0460-9bcf-3e7d-a923-1d22bcc5a9bd,GENTIVA HEALTH SERVICES,279 DALTON AVENUE  SUITE B,PITTSFIELD,MA,012013500,42.4606344,-73.22185917597403,4134433525,0.0,17,2026-05-09 23:29:49.413347,synthea,468caa19006cdbd2ece53c15daf3a82f
88e28a1c-aad9-36d0-832b-b579ecb95c3d,LEOMINSTER COMUNITY HEALTH CENTER,14 MANNING AVENUE,LEOMINSTER,MA,014535768,42.5253035,-71.7584413,9788470110,0.0,48,2026-05-09 23:29:49.413347,synthea,cb45d14fc4f0c0db83f92fb49ce5123e
52ecddd8-42f6-35cc-88a5-cf474c02fb49,LIFE CARE CENTER OF PLYMOUTH,94 OBERY STREET,PLYMOUTH,MA,023602130,41.93725,-70.65503160208334,5087479800,0.0,14,2026-05-09 23:29:49.413347,synthea,195fc098ce1b4fd8e7ec83857a03e127
2b376b69-72ac-3d68-aceb-018e82b8fc8f,PARK PLACE REHABILITATION & SKILLED CARE CENTER,113 CENTRAL AVE,HYDE PARK,MA,021363021,42.26077065,-71.1187885119897,6173612388,0.0,1,2026-05-09 23:29:49.413347,synthea,07cc2a52394e98615d4941c5330c0f2f
39104cad-5228-3e07-9b3e-3ad736b33d5d,GREATER BOSTON WELLNESS PRIMARY CARE PC,200 PROVIDENCE HWY,DEDHAM,MA,020261881,42.22214545274341,-71.18159060546684,7814610660,0.0,33,2026-05-09 23:29:49.413347,synthea,7d7381917ac546a735cacb67426b939b
b4359169-6bc8-3e93-9e0c-19c6bf518e58,HDH CORPORATION,126 MONUMENT ST,HAVERHILL,MA,018322527,42.78715445,-71.10946686154523,9783731747,0.0,2,2026-05-09 23:29:49.413347,synthea,0ef8d2988312f452bf7c830e1041f057
f945589f-88aa-366b-9e9d-2418d091112d,CENTER FOR DIGESTIVE WELLNESS PC,105 ERDMAN WAY,LEOMINSTER,MA,014531805,42.54685255,-71.75737313871981,9785377552,0.0,70,2026-05-09 23:29:49.413347,synthea,5549cdf3b65619a0a071b623f8c91bed
7f08f09e-c5f7-38cd-83ba-ddafedd88a13,VERO HEALTH XVII  LLC,133 SALEM ST,REVERE,MA,021511114,42.43833805,-71.01730877599738,7813224861,0.0,1,2026-05-09 23:29:49.413347,synthea,f93b9f717ac78862a59f22a3b9b88c0b
8e3ca57f-6f74-3d61-9803-ab1424290216,ACADEMY MANOR,89 MORTON STREET,ANDOVER,MA,018102036,42.6551409,-71.12857340697036,9784750944,0.0,1,2026-05-09 23:29:49.413347,synthea,704fc8280c8379a36ada5b059cc7e328
5fcff9db-16e4-3e56-aa78-abbc16338097,THE LOWELL GENERAL HOSPITAL,295 VARNUM AVE,WESTFORD,MA,018863513,42.5792583,-71.4378411,9789376000,0.0,262,2026-05-09 23:29:49.413347,synthea,f9f84e2c63a4b1c63734b45e769b30b1
fa09396a-2926-3b21-ad0c-9f6cabbce0eb,WOONSOCKET URGENT CARE PC,1210 BOSTON PROVIDENCE TPKE,NORWOOD,MA,020625061,42.1714075,-71.1951186,4017662700,0.0,7,2026-05-09 23:29:49.413347,synthea,532796c8e4575780c4bc1901512e4a15
